Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,PRA-KGW,146.980000,-,0.600000,DTCS,123.0,88.5,023,NN,FM,5.00,,W7PRA 146.98 KGW Tower Portland repeater,,,,
2,PRA-SALM,145.490000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,W7PRA 145.49 Prospect hill Salem repeater,,,,
3,PRA-PRAI,145.130000,-,0.600000,DTCS,100.0,88.5,023,NN,FM,5.00,,W7PRA 145.13 Prairie Mtn Monroe repeater,,,,
4,PRA-BUCK,444.825000,+,5.000000,DTCS,123.0,88.5,023,NN,FM,5.00,,W7PRA 444.825 Buck Mtn Harrisburg repeater,,,,
5,PRA-COBU,147.080000,+,0.600000,Cross,100.0,91.5,132,NN,FM,5.00,,W7PRA 147.080 Coburg Ridge Coburg repeater,,,,
6,PRA-HAGA,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,W7PRA 147.34 Mt Hagan Eugene repeater,,,,
7,PRA-SCOT,146.700000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,W7PRA 146.70 Mt Scott Sutherlin Roseburg repeater,,,,
8,PRA-KENY,146.920000,-,0.600000,DTCS,100.0,88.5,023,NN,FM,5.00,,W7PRA 146.92 Kenyon Mtn Camas Valley Roseburg repeater,,,,
9,PRA-KING,146.940000,-,0.600000,DTCS,136.5,88.5,023,NN,FM,5.00,,W7PRA 146.94 King Mtn Medford repeater,,,,
10,PRA-CHAS,147.200000,+,0.600000,DTCS,136.5,88.5,023,NN,FM,5.00,,W7PRA 147.20 Chase Mtn. Klamath Falls repeater,,,,
11,PRA-SODA,146.700000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,W7PRA 146.70 Soda Mtn. I-5 OR/CA Boarder repeater,,,,
12,PRA-MTBA,146.670000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,W7PRA 146.67 Mt Bradley Shasta Redding repeater,,,,
13,PRA-HODO,441.625000,+,5.000000,Cross,100.0,88.5,023,NN,FM,5.00,,,,,,
14,PRA-CLIN,145.130000,-,0.600000,Cross,123.0,88.5,023,NN,FM,5.00,,,,,,
15,PRA-WOLF,441.675000,+,5.000000,Cross,100.0,91.5,023,NN,FM,5.00,,,,,,
16,PRA-CHIL,145.210000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,,,,,
17,PRA-OTTR,145.390000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,,,,,
18,PRA-RONO,147.140000,+,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,,,,,
19,PRA-NOB,146.880000,-,0.600000,Cross,136.5,91.5,023,NN,FM,5.00,,,,,,
20,MARYPW,146.820000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
21,Coburg,441.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
22,OSU 2M,147.160000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
23,BENSIM,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,CVO 2M,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
25,OSU 440,443.050000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
26,CVO 440,442.300000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
27,BENPCKT,144.970000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
28,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
29,ABU529,145.290000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,ABU519,145.190000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
31,MARR3,146.720000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,LINR1,147.200000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
35,LINSIM1,147.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
36,LINR2,146.610000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
37,LINR3,147.060000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
38,LINSIM2,146.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,LANER1,146.680000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
40,LANER2,441.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
41,LANESIM,147.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,LANESIM,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,LANER3,146.740000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
44,YAMR1,441.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
45,YAMR2,146.640000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
46,YAMSIM1,147.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,YAMSIM2,147.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
48,LINCR1,145.370000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
49,POLR1,147.020000,+,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
50,ABU495,444.950000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
51,K7VFO,147.180000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
52,W7SRA,145.330000,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
53,W7SRA,147.050000,+,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
54,N7PIR,440.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,S,,,,,
55,N7EXH,147.260000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
56,KD6VLR,444.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
57,KE7DLA,442.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
58,AB7F,441.375000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
59,KC7NOS,441.700000,+,5.000000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
60,W7SRA,146.860000,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
61,W7SAA,444.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
62,LEMAIN,155.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
63,OSU OSP,155.745000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,CVO PW,156.240000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
65,FIREOPS,158.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,BC FIR,154.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,PHIL FI,154.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,EMSAR,154.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
69,NASARN,155.160000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
70,ORSAROR,155.805000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
71,NASARWF,155.160000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,ORSARWF,155.805000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
73,BCTACR,153.912000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
74,Tri-County,154.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,Fire-Tac,153.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
76,Fire-Tac,154.220000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,Phil-PW,154.085000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,LinF Wst,154.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,LinF Est,153.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,LinnSher,154.710000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,Linnfire,154.310000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,AlbPol,153.815000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,Tri-County,155.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,LnFrOp1,154.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,LnFrOp2,153.995000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,Hospital,155.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,LCSO,155.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,AlbPD,151.130000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,AlbPW,153.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,LebPD,460.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,LebPD,460.138000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,SHPD,154.815000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,AumsFire,154.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
102,North1,155.160000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,Hospital,155.340000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,MarFire,154.415000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,MarSher,154.740000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,StayPol,154.830000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
107,SalPol,460.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,MF S2,154.010000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,StayFirOp,154.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
